u,v,highway,lanes,maxspeed,length,geometry
1035418105,1035419992,unclassified,1,30,234.82720769197823,"LINESTRING (74.5996396 26.4755149, 74.5988428 26.4761536, 74.5978851 26.4769268)"
1035418106,4204458187,residential,1,30,72.11631435546202,
1035418106,4204458298,residential,1,30,57.68197825700326,"LINESTRING (74.6064565 26.4772585, 74.6063103 26.4772957, 74.6060984 26.4773569, 74.6059026 26.4774109)"
1035418106,1035418651,residential,1,30,92.77244684635392,"LINESTRING (74.6064565 26.4772585, 74.606663 26.4772332, 74.6068105 26.4772585, 74.6069138 26.4772921, 74.6070626 26.4773809, 74.6072666 26.4775587)"
1035418109,4202086661,tertiary,1,30,54.94608486164677,
1035418109,4202168051,tertiary,1,30,40.185668139593545,
1035418109,4202168058,residential,1,30,68.01080331284801,
1035418112,1035419096,residential,1,30,56.837129572796314,"LINESTRING (74.6061037 26.4672104, 74.6061091 26.4671299, 74.6061105 26.4670903, 74.6060986 26.4670301, 74.6059428 26.4667313)"
1035418118,8602033064,unclassified,1,30,12.968418374762205,
1035418118,1035418413,tertiary,1,30,76.63662263597173,"LINESTRING (74.6087578 26.4721589, 74.6086961 26.4720797, 74.6085539 26.4718684, 74.6083433 26.4715783)"
1035418125,1035418923,residential,1,30,176.9699381983504,
1035418125,1035419789,residential,1,30,32.98210584593189,"LINESTRING (74.6058747 26.462536, 74.6059374 26.4625522, 74.6059924 26.462587, 74.6060139 26.462623, 74.6060742 26.462749)"
1035418125,4202086691,residential,1,30,94.00152665239776,"LINESTRING (74.6058747 26.462536, 74.6057375 26.4625729, 74.6050016 26.4628562)"
1035418148,4202086691,residential,1,30,44.14075196940899,
1035418148,4202168106,residential,1,30,49.82780387634131,
1035418148,1035419888,residential,1,30,57.807278978665465,
1035418150,8602033075,residential,1,30,122.66918956636036,
1035418150,1035419284,residential,1,30,70.14988971844025,
1035418150,1035418687,residential,1,30,73.778865186349,
1035418152,1035418689,residential,1,30,99.76091987702851,
1035418152,1035418393,residential,1,30,41.249890066907184,
1035418152,1035420007,residential,1,30,66.31332332383263,
1035418158,4206671953,residential,1,30,44.942517883304596,
1035418158,11042176365,tertiary,2,30,38.74255325504408,
1035418158,4202086983,tertiary,2,30,64.50707514296164,"LINESTRING (74.6382141 26.4721718, 74.63792 26.472297, 74.6376154 26.4723916)"
1035418174,1035419914,residential,1,30,54.16015789590681,
1035418174,1035417947,residential,1,30,39.337011296815085,
1035418174,1035420039,residential,1,30,147.14159650426296,
1035418188,8604810794,tertiary,1,30,414.86788633217805,"LINESTRING (74.6228785 26.4565798, 74.6230825 26.4565651, 74.6231799 26.4566046, 74.6232454 26.4566307, 74.6236341 26.4568999, 74.6237668 26.4569939, 74.6238564 26.457066, 74.6239368 26.457159, 74.6240764 26.4573919, 74.6243062 26.4580067, 74.6243278 26.4580631, 74.6243654 26.458105, 74.6244237 26.4581272, 74.6244712 26.458135, 74.6245438 26.4581221, 74.6245866 26.4581054, 74.6246164 26.4580804, 74.6246412 26.4580251, 74.6246391 26.4579747, 74.6245371 26.4576117, 74.6244216 26.4573558, 74.6243027 26.4571693, 74.6242125 26.4570155, 74.6241437 26.456877)"
1035418188,4204319805,tertiary,1,30,86.27732978136913,"LINESTRING (74.6228785 26.4565798, 74.6228217 26.456577, 74.6222873 26.4565847, 74.6220283 26.4566683)"
1035418188,8604810777,residential,1,30,143.0306953578344,"LINESTRING (74.6228785 26.4565798, 74.6228742 26.4565422, 74.622856 26.4565097, 74.6228131 26.456471, 74.6226774 26.4564021, 74.6226121 26.4563509, 74.6225635 26.4562821, 74.6223443 26.4557134, 74.6223263 26.4556668, 74.6223176 26.4555761, 74.6223269 26.4554595)"
1035418191,8594195645,residential,1,30,10.995536294232673,
1035418191,1035417880,residential,1,30,41.26697526433937,
1035418191,1035419002,residential,1,30,86.9546620676386,
1035418205,8594306710,unclassified,1,30,103.23870311634168,
1035418205,4201938440,unclassified,1,30,27.195661717312134,
1035418205,1035418432,residential,1,30,59.2357439497435,"LINESTRING (74.6022179 26.4743161, 74.602304 26.4745709, 74.6023739 26.4747311, 74.6024232 26.4748147)"
1035418206,1035419476,unclassified,1,30,18.633120851098553,
1035418206,8602455622,unclassified,1,30,46.013886934508655,
1035418206,1035419557,residential,1,30,59.30160942658275,"LINESTRING (74.6261152 26.4620606, 74.626031 26.4618946, 74.6257642 26.4616374)"
1035418208,8594257368,residential,1,30,30.39126203892724,
1035418208,1035419022,residential,1,30,66.4535243217595,
1035418208,1035418999,residential,1,30,54.73207605770564,
1035418217,4202025239,residential,1,30,43.56858082656854,
1035418217,4204571740,residential,1,30,7.079698346339896,
1035418217,4202025261,residential,1,30,136.48581911622182,"LINESTRING (74.6318389 26.4888045, 74.6318649 26.4893277, 74.6322066 26.4899615)"
1035418227,1035418588,residential,1,30,10.84938599523434,
1035418227,1035419792,residential,1,30,38.33643114127237,
1035418227,1035419287,residential,1,30,97.39760873753615,"LINESTRING (74.6084122 26.4755244, 74.608611 26.4750966, 74.6086478 26.475064, 74.6086894 26.475052, 74.6087404 26.4750592, 74.6090236 26.4751802)"
1035418229,1035418741,residential,1,30,51.56073430243428,
1035418229,4192843123,residential,1,30,80.14762232422282,
1035418229,8605971051,residential,1,30,31.584355834961283,"LINESTRING (74.6353448 26.4624234, 74.6351062 26.4623804, 74.6350359 26.46236)"
1035418232,4201938435,residential,1,30,42.56893747237503,
1035418232,1035417938,unclassified,1,30,16.3419708267438,
1035418232,1035417888,unclassified,1,30,20.895523289056385,
1035418240,1035419146,residential,1,30,49.62870812641604,
1035418240,1035419636,residential,1,30,41.33840312642114,
1035418240,9660471096,residential,1,30,38.7974020299829,"LINESTRING (74.6021068 26.479921, 74.6022902 26.4801326, 74.6023427 26.4801987)"
1035418242,8607026916,tertiary,1,30,11.005360199593985,
1035418242,8607033124,tertiary,1,30,50.93981389963947,
1035418242,8607033118,residential,1,30,37.31607837460323,"LINESTRING (74.635517 26.4542463, 74.6353835 26.4542412, 74.6351425 26.454232)"
1035418257,4204319844,tertiary,1,30,109.85672607262414,
1035418257,4466972647,tertiary,1,30,22.689410644692483,"LINESTRING (74.6281212 26.457107, 74.628251 26.4571389, 74.6283419 26.4571578)"
1035418257,4208585535,tertiary,1,30,85.19347536062335,"LINESTRING (74.6281212 26.457107, 74.628044 26.457086, 74.6279735 26.4570817, 74.6275179 26.4570536, 74.6273925 26.4569931, 74.6273474 26.4569079)"
1035418263,4201938333,residential,1,30,63.702921105396946,
